dates,rate,fluctuation,prices,positives,negatives,compounds
2017-02-03 16:00:00,0.0040084329312463805,0.8000030517578125,200.3800048828125,0.144,0.191,-0.7907
2017-02-06 16:30:00,0.0022547196317951324,0.4499969482421875,200.02999877929688,0.0,0.0,0.0
2017-02-03 09:30:00,0.004883949537899395,0.970001220703125,199.5800018310547,0.0,0.098,-0.3382
2017-02-06 16:30:00,0.003507350144403435,0.6999969482421875,200.27999877929688,0.168,0.249,-0.9112
2017-02-06 16:30:00,0.0022547196317951324,0.4499969482421875,200.02999877929688,0.027,0.328,-0.9799
2017-02-06 16:30:00,0.0022547196317951324,0.4499969482421875,200.02999877929688,0.246,0.197,0.4037
2017-02-06 09:30:00,-0.0017467117226607405,-0.350006103515625,200.02999877929688,0.193,0.122,0.8256
2017-02-06 16:30:00,0.0022547196317951324,0.4499969482421875,200.02999877929688,0.497,0.0,0.9412
2017-02-06 16:00:00,0.0012498125357478882,0.25,200.27999877929688,0.101,0.245,-0.8697
2017-02-07 09:30:00,0.0030457390356975517,0.6100006103515625,200.88999938964844,0.13,0.108,0.3147
2017-02-06 09:30:00,-0.0017467117226607405,-0.350006103515625,200.02999877929688,0.078,0.318,-0.9508
2017-02-07 16:00:00,-0.0015431209096301271,-0.30999755859375,200.5800018310547,0.0,0.457,-0.9831
2017-02-08 09:30:00,-0.0003988524794314827,-0.0800018310546875,200.5,0.308,0.0,0.7906
2017-02-07 09:30:00,0.0030457390356975517,0.6100006103515625,200.88999938964844,0.0,0.201,-0.6996
2017-02-08 16:00:00,4.9847914393703244e-05,0.0099945068359375,200.50999450683594,0.191,0.153,0.7326
2017-02-09 09:30:00,0.001546121519504821,0.3100128173828125,200.82000732421875,0.256,0.087,0.9534
2017-02-08 09:30:00,-0.0003988524794314827,-0.0800018310546875,200.5,0.375,0.0,0.636
2017-02-09 16:00:00,0.004481594779704185,0.899993896484375,201.72000122070312,0.151,0.139,0.4761
2017-02-10 09:30:00,0.002875281714975323,0.5800018310546875,202.3000030517578,0.197,0.0,0.4003
2017-02-10 16:00:00,0.002174999677551546,0.44000244140625,202.74000549316406,0.041,0.155,-0.7705
2017-02-13 16:30:00,0.005042037850093223,1.0200042724609375,203.32000732421875,0.0,0.0,0.0
2017-02-13 16:30:00,0.009391961778657351,1.899993896484375,204.1999969482422,0.141,0.065,0.8333
2017-02-13 16:30:00,0.005042037850093223,1.0200042724609375,203.32000732421875,0.272,0.052,0.9841
2017-02-13 16:30:00,0.005042037850093223,1.0200042724609375,203.32000732421875,0.0,0.0,0.0
2017-02-13 16:30:00,0.009391961778657351,1.899993896484375,204.1999969482422,0.114,0.133,0.3772
2017-02-13 09:30:00,0.00286081589888407,0.5800018310546875,203.32000732421875,0.195,0.26,-0.4621
2017-02-13 16:00:00,0.0043281014770975585,0.8799896240234375,204.1999969482422,0.0,0.0,0.0
2017-02-14 09:30:00,-0.0006855993718938332,-0.1399993896484375,204.05999755859375,0.226,0.0,0.7901
2017-02-13 09:30:00,0.00286081589888407,0.5800018310546875,203.32000732421875,0.324,0.057,0.8955
2017-02-14 16:00:00,0.005439579651238784,1.1100006103515625,205.1699981689453,0.0,0.145,-0.6415
2017-02-15 09:30:00,0.0010722874819249501,0.220001220703125,205.38999938964844,0.133,0.064,0.5859
2017-02-15 16:00:00,0.004820125108846747,0.9900054931640625,206.3800048828125,0.099,0.214,-0.9445
2017-02-16 09:30:00,0.0008237143372578246,0.1699981689453125,206.5500030517578,0.174,0.087,0.7562
2017-02-16 16:00:00,-0.00033893644727377414,-0.07000732421875,206.47999572753906,0.099,0.183,-0.9114
2017-02-17 09:30:00,-0.00702245727550059,-1.4499969482421875,205.02999877929688,0.0,0.0,0.0
2017-02-17 16:00:00,0.004145764564094877,0.850006103515625,205.8800048828125,0.142,0.057,0.8459
2017-02-21 16:30:00,0.007462316677589368,1.529998779296875,206.55999755859375,0.16,0.221,-0.8228
2017-02-17 09:30:00,-0.00702245727550059,-1.4499969482421875,205.02999877929688,0.0,0.0,0.0
2017-02-21 16:30:00,0.009949805184937,2.040008544921875,207.07000732421875,0.072,0.083,-0.1505
2017-02-21 16:30:00,0.007462316677589368,1.529998779296875,206.55999755859375,0.215,0.092,0.3802
2017-02-21 16:30:00,0.007462316677589368,1.529998779296875,206.55999755859375,0.0,0.0,0.0
2017-02-21 16:30:00,0.009949805184937,2.040008544921875,207.07000732421875,0.21,0.17,0.4105
2017-02-21 09:30:00,0.003302859236710742,0.67999267578125,206.55999755859375,0.275,0.0,0.6893
2017-02-21 16:30:00,0.007462316677589368,1.529998779296875,206.55999755859375,0.364,0.0,0.743
2017-02-22 09:30:00,-0.001642012771783584,-0.3400115966796875,206.72999572753906,0.0,0.254,-0.8016
2017-02-22 16:00:00,0.003482809633741078,0.720001220703125,207.4499969482422,0.254,0.042,0.9356
2017-02-24 09:30:00,-0.0035608000533345393,-0.7400054931640625,207.0800018310547,0.0,0.0,0.0
2017-02-23 09:30:00,0.002940470567968988,0.6100006103515625,208.05999755859375,0.065,0.122,-0.5242
2017-02-24 16:00:00,0.004104649590548216,0.8499908447265625,207.92999267578125,0.044,0.13,-0.6864
2017-02-27 16:30:00,0.0031388540213297357,0.649993896484375,207.72999572753906,0.0,0.245,-0.3818
2017-02-24 09:30:00,-0.0035608000533345393,-0.7400054931640625,207.0800018310547,0.169,0.427,-0.862
2017-02-27 16:30:00,0.005843111089332958,1.209991455078125,208.2899932861328,0.191,0.052,0.9262
2017-02-27 16:30:00,0.0031388540213297357,0.649993896484375,207.72999572753906,0.287,0.043,0.9394
2017-02-27 16:30:00,0.005843111089332958,1.209991455078125,208.2899932861328,0.141,0.24,-0.7117
2017-02-27 09:30:00,-0.0009618475221803932,-0.1999969482421875,207.72999572753906,0.047,0.21,-0.8528
2017-02-28 09:30:00,-0.0008641446136780555,-0.17999267578125,208.11000061035156,0.257,0.0,0.902
2017-02-27 09:30:00,-0.0009618475221803932,-0.1999969482421875,207.72999572753906,0.304,0.0,0.5411
2017-02-28 09:30:00,-0.0008641446136780555,-0.17999267578125,208.11000061035156,0.167,0.0,0.296
2017-03-01 16:00:00,0.005240120584558748,1.100006103515625,211.02000427246094,0.736,0.0,0.4199
2017-03-02 16:00:00,-0.006155608867510159,-1.3000030517578125,209.88999938964844,0.243,0.0,0.7734
2017-03-02 09:30:00,0.0008056021491015486,0.1699981689453125,211.19000244140625,0.155,0.162,-0.1938
2017-03-03 16:00:00,-0.0007140526431860782,-0.149993896484375,209.91000366210938,0.0,0.182,-0.8108
2017-03-06 16:30:00,-0.003808450257334984,-0.8000030517578125,209.25999450683594,0.118,0.113,0.5743
2017-03-06 16:30:00,-0.002761124620564193,-0.5800018310546875,209.47999572753906,0.081,0.117,-0.7682
2017-03-06 16:30:00,-0.002761124620564193,-0.5800018310546875,209.47999572753906,0.055,0.097,-0.2746
2017-03-06 09:30:00,-0.0030966087558159093,-0.6500091552734375,209.25999450683594,0.533,0.0,0.9286
2017-03-07 09:30:00,-0.0012888534427079005,-0.269989013671875,209.2100067138672,0.156,0.0,0.8996
2017-03-06 09:30:00,-0.0030966087558159093,-0.6500091552734375,209.25999450683594,0.16,0.0,0.7772
2017-03-07 16:00:00,-0.0001912362871657185,-0.040008544921875,209.1699981689453,0.143,0.119,0.5818
2017-03-07 09:30:00,-0.0012888534427079005,-0.269989013671875,209.2100067138672,0.372,0.117,0.8398
2017-03-08 16:00:00,-0.004628310011587157,-0.970001220703125,208.61000061035156,0.193,0.032,0.886
2017-03-09 09:30:00,0.000623195831609853,0.1300048828125,208.74000549316406,0.285,0.0,0.8684
2017-03-09 16:00:00,-0.0003353804847008239,-0.07000732421875,208.6699981689453,0.185,0.0,0.5267
2017-03-10 09:30:00,0.004888121346678272,1.0200042724609375,209.69000244140625,0.239,0.0,0.9432
2017-03-10 16:00:00,-0.002575270821854131,-0.540008544921875,209.14999389648438,0.119,0.095,0.2558
2017-03-13 16:30:00,-0.0035767084327712416,-0.75,208.94000244140625,0.246,0.106,0.6239
2017-03-13 16:30:00,-0.0035767084327712416,-0.75,208.94000244140625,0.0,0.0,0.0
2017-03-13 16:00:00,-0.0009085374502464113,-0.19000244140625,208.94000244140625,0.195,0.207,-0.1967
2017-03-14 09:30:00,-0.0017708199141581755,-0.3699951171875,208.57000732421875,0.181,0.074,0.7906
2017-03-14 16:00:00,-0.00014390390291966167,-0.0300140380859375,208.5399932861328,0.0,0.0,0.0
2017-03-15 09:30:00,0.001390661524209225,0.290008544921875,208.8300018310547,0.545,0.0,0.8955
2017-03-15 16:00:00,0.0035914379802896167,0.75,209.5800018310547,0.094,0.162,-0.8507
2017-03-16 09:30:00,0.0028151366196008964,0.589996337890625,210.1699981689453,0.27,0.0,0.7418
2017-03-15 09:30:00,0.001390661524209225,0.290008544921875,208.8300018310547,0.406,0.0,0.8485
2017-03-16 16:00:00,-0.0034733583951038287,-0.7299957275390625,209.44000244140625,0.243,0.191,0.296
2017-03-17 09:30:00,0.0004296998512297226,0.089996337890625,209.52999877929688,0.292,0.0,0.9776
2017-03-17 16:00:00,-0.0031976240769754317,-0.6699981689453125,208.86000061035156,0.229,0.05,0.9823
2017-03-20 16:30:00,-0.0034362679563680045,-0.720001220703125,208.80999755859375,0.226,0.068,0.8374
2017-03-20 09:30:00,-4.785266114493227e-05,-0.0099945068359375,208.85000610351562,0.0,0.0,0.0
