dates,rate,fluctuation,prices,anger,depression,fatigue,tension,confusion,vigour
2018-03-02,-0.002561141698373101,0.6299896240234375,245.35000610351562,-0.36938316,0.91101533,-0.36272565,-0.39507934,-0.41803,-0.26457414
2018-03-05,0.014224536978012294,-3.489990234375,248.83999633789062,-0.5294153,0.96198756,-0.36444354,-0.4491143,-0.4364177,-0.26588053
2018-03-06,0.0,0.0,248.83999633789062,-0.3935375,0.91003764,-0.3607782,-0.44389987,-0.29617748,-0.26586094
2018-03-07,-0.0029335948331546684,0.7299957275390625,248.11000061035156,-0.16766818,0.8760632,-0.36450705,-0.4308072,-0.43352655,-0.2658792
2018-03-08,0.00415137953634708,-1.029998779296875,249.13999938964844,-0.4500188,0.050363764,-0.3135902,-0.38235238,5.516538,0.018769316
2018-03-09,0.01774102183420395,-4.4199981689453125,253.55999755859375,-0.568971,0.10057688,0.10839481,2.5912297,-0.4236712,0.48660013
2018-03-12,-0.006310107509591806,1.5999908447265625,251.9600067138672,-0.6787381,0.13903561,-0.35482588,3.4165273,-0.416349,-0.22634605
2018-03-13,-0.0069058796904227,1.7400054931640625,250.22000122070312,-0.58350694,0.9653854,-0.3645012,-0.44736618,-0.3772471,-0.2645225
2018-03-14,-0.0093517557608301,2.339996337890625,247.8800048828125,2.2109563,5.5766162e-05,-0.06468897,-0.4267993,1.5867943,-0.2599388
2018-03-15,0.004518295526567332,-1.1199951171875,249.0,-0.568439,0.9169421,-0.34460562,-0.4480981,-0.07794577,-0.2657523
2018-03-16,0.000401630937813755,-0.100006103515625,249.10000610351562,-0.6269614,0.986572,-0.36445022,-0.44919008,-0.4550088,-0.26588103
2018-03-19,-0.012806111454210954,3.19000244140625,245.91000366210938,-0.6727874,0.99716336,-0.36450678,-0.44916397,-0.45686826,-0.26588103
2018-03-20,0.004839178657576547,-1.19000244140625,247.10000610351562,-0.40010974,0.86453265,-0.33237267,-0.41784865,-0.38582963,0.05750223
2018-03-21,-0.001942577800370583,0.480010986328125,246.6199951171875,-0.64780086,0.9481725,-0.36450642,-0.26758423,-0.430906,-0.265806
2018-03-22,-0.029437980093163875,7.2599945068359375,239.36000061035156,0.2999506,0.7473729,-0.3533533,-0.42942005,-0.28336748,-0.2658757
2018-03-23,-0.017672107773867244,4.2299957275390625,235.1300048828125,0.5186846,0.43383646,0.4523815,-0.40427703,0.014986945,0.15363073
2018-03-26,0.028452355303358712,-6.69000244140625,241.82000732421875,-0.6086455,0.9808137,-0.36450696,-0.44913712,-0.44327578,-0.26588106
2018-03-27,-0.014597692213916328,3.5300140380859375,238.2899932861328,-0.33916894,0.8576707,-0.36143517,-0.36586913,-0.12944312,-0.26584578
2018-03-28,-4.19426208298069e-05,0.0099945068359375,238.27999877929688,-0.37971276,0.5521373,-0.3538687,0.62793905,0.39594415,-0.11362398
2018-03-29,0.013093818755964267,-3.1199951171875,241.39999389648438,-0.44358215,0.9290269,-0.3642453,-0.44221985,-0.35020953,-0.2652439
2018-04-02,-0.021748136423944037,5.25,236.14999389648438,-0.683622,0.9996446,-0.3645037,-0.44858536,-0.45808735,-0.265863
2018-04-03,0.016938387056462886,-4.0,240.14999389648438,-0.5711587,0.949013,-0.3644897,-0.44585082,-0.280353,-0.26588103
2018-04-04,0.009619041749293292,-2.3100128173828125,242.4600067138672,-0.45363015,0.09667383,2.316062,0.9838908,-0.32713848,-0.23299497
2018-04-05,0.01010474668151555,-2.4499969482421875,244.91000366210938,1.4085662,0.11663787,-0.3441039,-0.32661715,-0.11728058,1.9678392
2018-04-06,-0.02360050097125172,5.779998779296875,239.1300048828125,1.1370647,0.11198393,-0.36434564,-0.44909167,2.9790478,-0.26588106
2018-04-09,0.0025090571340915277,-0.5999908447265625,239.72999572753906,3.6789374,0.0043856124,-0.34509358,-0.4270085,-0.43236572,-0.26561844
2018-04-10,0.01785341365525753,-4.279998779296875,244.00999450683594,-0.67442626,0.9950113,-0.3645065,-0.44917852,-0.43869305,-0.26588094
2018-04-11,-0.008729108118412609,2.1299896240234375,241.8800048828125,-0.18330774,0.26690942,-0.32797828,-0.44306394,3.946277,-0.265851
2018-04-12,0.012113414158399703,-2.92999267578125,244.80999755859375,3.0936368,0.07804563,-0.36450592,-0.2787597,-0.21983096,-0.26555723
2018-04-13,-0.005024287160677213,1.2299957275390625,243.5800018310547,-0.5182365,0.93389773,-0.36248386,-0.33499712,-0.43605384,-0.26476178
2018-04-16,0.008375044218727517,-2.0399932861328125,245.6199951171875,-0.67120695,0.99582016,-0.36435637,-0.44722342,-0.4530354,-0.2658743
2018-04-17,0.008875531218581008,-2.1800079345703125,247.8000030517578,-0.5192855,0.83365345,-0.36358696,0.118864015,-0.42509168,-0.26587486
2018-04-18,-0.0016949078441197104,0.4199981689453125,247.3800048828125,3.2598152,0.074083656,-0.36352357,-0.35451865,-0.34257787,-0.26587996
2018-04-19,-0.0032743048856250837,0.80999755859375,246.57000732421875,-0.040866267,0.6363932,-0.36339214,-0.4366629,-0.21702631,0.9535718
2018-04-20,-0.008476341544377288,2.0900115966796875,244.47999572753906,-0.40034747,0.93062294,-0.3644118,-0.44193506,-0.43138567,-0.26588094
2018-04-23,-0.0005316984059845311,0.1299896240234375,244.35000610351562,-0.4475283,0.89589804,-0.36358103,-0.41192862,-0.16691679,-0.25317618
2018-04-24,-0.017434048124477245,4.260009765625,240.08999633789062,-0.5655062,0.82786304,-0.36115387,0.06564716,-0.22838864,-0.26543194
2018-04-25,0.0025407164798864766,-0.6100006103515625,240.6999969482422,3.231295,0.10780058,-0.36371794,-0.43954945,-0.40478984,-0.26588106
2018-04-26,0.010054001660272914,-2.4199981689453125,243.1199951171875,-0.6833983,0.97813255,-0.36240044,-0.35328215,-0.45667377,-0.26584503
2018-04-27,-0.0006992356546542823,0.1699981689453125,242.9499969482422,-0.6837841,0.0064599067,-0.3631547,4.088778,-0.458968,-0.2658809
2018-04-30,-0.005803678451618836,1.410003662109375,241.5399932861328,2.7115731,0.11372789,-0.35643074,-0.38063017,0.29288906,-0.26585865
2018-05-01,-0.003229273830329513,0.779998779296875,240.75999450683594,-0.6780055,0.68244535,-0.35723317,-0.4487854,-0.42499453,1.8101143
2018-05-02,-0.006853272695341943,1.649993896484375,239.11000061035156,-0.68380815,0.98942286,-0.36415416,-0.4017179,-0.45850903,-0.26588106
2018-05-03,-4.179878219407615e-05,0.0099945068359375,239.10000610351562,-0.46303642,0.1970179,-0.36260772,-0.34785047,4.801194,-0.26587662
2018-05-04,0.01430363062167662,-3.4199981689453125,242.52000427246094,-0.67775923,0.9978992,-0.3645072,-0.44919035,-0.4540724,-0.2658665
2018-05-07,0.003711008909076507,-0.899993896484375,243.4199981689453,-0.6666356,0.74028265,-0.161757,0.4831211,-0.3921471,-0.24217328
2018-05-08,0.0,0.0,243.4199981689453,1.0267402,0.10364498,-0.32820937,-0.36644012,2.6021,0.13951904
2018-05-09,0.008134071737872782,-1.9799957275390625,245.39999389648438,1.3251414,0.11459824,-0.12047712,1.3040041,-0.445008,-0.2653079
2018-05-10,0.008394510467069431,-2.0600128173828125,247.4600067138672,-0.6839706,0.99999875,-0.36450717,-0.4491921,-0.45909113,-0.2658811
2018-05-11,0.00436428733114192,-1.079986572265625,248.5399932861328,0.7906117,0.21694016,0.31839773,-0.11811752,0.4732601,0.5222621
2018-05-14,0.002937197256168332,-0.730010986328125,249.27000427246094,-0.33310694,0.86977655,-0.36425692,-0.35069036,-0.34768033,-0.17168498
2018-05-15,-0.00786298664208643,1.9600067138671875,247.30999755859375,1.5587012,0.044963125,1.7160369,-0.44458175,-0.105214775,-0.26527268
2018-05-16,0.0026687302115758747,-0.660003662109375,247.97000122070312,1.660048,0.29878303,-0.35298258,-0.448846,0.7124158,-0.21277148
2018-05-17,-0.0009275143219213731,0.2299957275390625,247.74000549316406,-0.6715711,0.99089813,-0.36381844,-0.44611683,-0.42518544,-0.26058117
2018-05-18,-0.0029870246094932038,0.7400054931640625,247.0,0.74688333,0.6748089,-0.3640086,-0.44631076,-0.44479117,-0.26586837
2018-05-21,0.011902843892332995,-2.94000244140625,249.94000244140625,-0.6774309,0.99645084,-0.36386156,-0.44885936,-0.44561246,-0.26584673
2018-05-22,-0.007041729008695202,1.760009765625,248.17999267578125,0.48900223,0.050505232,2.453098,-0.44151148,0.52894455,-0.22971392
2018-05-23,0.0018132493364166524,-0.45001220703125,248.6300048828125,-0.09752743,0.75263125,-0.3419878,0.006534808,-0.37898585,-0.2658415
2018-05-24,-0.002895874216961405,0.720001220703125,247.91000366210938,0.5495396,0.35586753,1.1036499,-0.08274717,-0.42939654,-0.26587293
2018-05-25,-0.0021782442698757864,0.540008544921875,247.3699951171875,-0.56430966,0.8408276,-0.1966047,-0.30210403,0.028896142,-0.2658694
2018-05-29,-0.015846700272150134,3.9199981689453125,243.4499969482422,-0.5496756,0.7525663,-0.3644073,-0.44911182,1.1041375,-0.26588008
2018-05-30,0.013349763979216457,-3.25,246.6999969482422,-0.6408166,0.073384054,-0.36304292,3.6700463,-0.35147676,-0.26529393
2018-05-31,-0.010214853277803793,2.5200042724609375,244.17999267578125,-0.25134805,0.84802777,-0.34488916,-0.24469058,-0.41706598,-0.2651585
2018-06-01,0.00892787288049802,-2.1800079345703125,246.36000061035156,0.094645746,0.3349108,-0.3561279,-0.27555674,2.7795236,-0.26480517
2018-06-04,0.007468730042750746,-1.839996337890625,248.1999969482422,2.478109,0.24353835,-0.363762,-0.32615992,-0.33855602,-0.26587397
2018-06-05,-0.00020146274122734888,0.0500030517578125,248.14999389648438,-0.67798626,0.9947969,-0.35086003,-0.44712946,-0.45346233,-0.26587856
2018-06-06,0.013580537815295536,-3.3700103759765625,251.52000427246094,1.9864745,0.014096294,-0.36143363,0.25643396,1.1645885,-0.24242863
2018-06-07,0.004015563333649809,-1.0099945068359375,252.52999877929688,-0.68383944,0.99982214,-0.3645072,-0.44916362,-0.45807892,-0.26587963
2018-06-08,0.0029303666762015216,-0.7400054931640625,253.27000427246094,-0.00030837374,0.81689614,-0.364052,-0.44335386,-0.25996235,-0.26588076
2018-06-11,0.0004737833741196314,-0.1199951171875,253.38999938964844,0.6621685,0.5695534,-0.36291528,0.030160975,-0.30186707,-0.26585883
2018-06-12,-0.0003551692573006161,0.089996337890625,253.3000030517578,-0.5295864,0.7959091,-0.3016194,-0.42110488,0.6240566,-0.26165906
2018-06-13,-0.004421675335502093,1.1200103759765625,252.17999267578125,3.724762,0.001091631,-0.36241856,-0.44794035,-0.42581877,-0.26586124
2018-06-14,-0.0007533792851736941,0.1899871826171875,251.99000549316406,-0.60432255,0.8790687,-0.3637503,-0.4475244,-0.31328866,0.284732
